level,study_type,profession,start_time,phone_artifact,flight_airport,travel_soap,possession_popcorn,music_jazz,investigation_operation,fertility_crane,radio_music,gem_jewel,drug_alcohol,professor_currency,motto_Jackson,number_equipment,archive_bird,war_journal,troops_personnel,round_Jerusalem,minister_bishop,ministry_government,artifact_object,governor_jazz,practice_law,collection_memorabilia,fertility_hotel,size_environment,science_scientist,video_problem,defeating_discipline,gin_alcohol,year_century,end_time
NA,NA,test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,test,2019-02-22 14:58:17,10,4,7,1,4,3,3,8,1,6,9,7,0,5,6,6,2,7,2,5,3,0,1,2,4,10,0,9,8,5,2019-02-22 14:59:22
NA,NA,test,2019-02-22 15:08:04,5,7,10,0,1,1,2,1,5,6,8,4,7,8,3,3,4,7,0,6,9,3,5,2,6,0,9,2,4,10,2019-02-22 15:09:12
hbo,gamma,HBO Digital Communication and Media,2019-02-22 15:20:04,1,10,2,0,10,2,2,10,10,10,0,2,1,3,7,2,2,0,8,10,0,6,10,0,7,10,2,2,10,10,2019-02-22 15:21:56
wo,gamma,Cognitive Science ,2019-02-22 15:24:06,3,6,0,0,5,6,1,7,8,7,1,0,0,0,2,2,1,8,8,5,0,7,5,1,0,9,1,2,6,7,2019-02-22 15:26:10
wo,beta,Master AI,2019-02-22 15:30:01,1,9,5,1,8,3,7,9,10,7,2,0,2,0,4,7,0,8,7,6,0,5,8,2,5,10,1,3,9,9,2019-02-22 15:31:41
wo,beta,Artificial Intelligence,2019-02-22 15:29:09,2,10,0,0,10,3,0,10,9,8,1,0,1,0,6,3,0,5,10,10,0,6,7,1,4,10,0,0,9,10,2019-02-22 15:32:45
hbo,beta,Architecture,2019-02-22 15:33:32,3,9,2,3,10,9,5,9,9,10,3,2,4,1,7,6,3,6,9,3,1,6,5,2,6,10,1,5,9,8,2019-02-22 15:36:20
wo,gamma,Pedagogical Sciences ,2019-02-22 15:34:38,2,9,3,3,8,7,0,9,8,9,0,1,5,0,5,6,0,8,8,8,1,7,7,1,2,9,2,6,8,9,2019-02-22 15:36:44
hbo,gamma,Psychology,2019-02-22 15:24:24,4,8,3,2,8,4,10,8,10,10,0,1,7,1,4,8,0,8,5,7,0,8,2,2,0,5,7,6,10,10,2019-02-22 15:37:57
wo,gamma,information manager,2019-02-22 15:38:30,0,8,1,1,9,7,1,9,9,7,1,0,3,1,4,1,0,5,10,6,0,9,3,1,0,10,0,1,10,8,2019-02-22 15:40:26
hbo,alfa,Linguistics student,2019-02-22 15:41:56,5,9,0,1,9,8,8,9,10,9,1,0,1,0,6,7,0,5,9,10,0,7,9,1,3,9,2,5,8,9,2019-02-22 15:43:57
hbo,beta,Applied Physics,2019-02-22 15:50:54,0,10,2,0,9,5,7,8,9,6,0,0,0,0,5,4,0,0,6,8,0,5,7,0,1,8,0,2,10,8,2019-02-22 15:54:01
wo,beta,Game and Media Technology,2019-02-22 16:06:33,8,9,1,0,9,3,7,9,10,8,0,2,2,1,7,6,0,6,9,7,0,7,8,0,0,9,0,5,8,9,2019-02-22 16:10:25
wo,alfa,Comparative Literature,2019-02-22 16:11:17,2,7,0,0,6,4,5,6,9,6,0,0,1,0,0,0,0,0,10,8,0,8,7,0,7,7,0,0,8,7,2019-02-22 16:14:48
wo,gamma,Graduate degree in Organization Development,2019-02-22 16:14:50,7,9,5,5,9,5,2,9,10,8,0,5,5,5,5,7,3,6,9,7,5,9,8,2,3,5,1,7,9,5,2019-02-22 16:18:01
wo,beta,Biomimicry,2019-02-22 16:15:13,1,10,6,0,10,3,2,10,10,9,0,0,5,0,0,2,1,9,9,10,0,6,6,1,2,10,0,0,10,9,2019-02-22 16:19:18
wo,beta,Mechanical engineering,2019-02-22 16:23:56,7,9,7,2,9,2,2,8,9,9,1,2,6,2,7,8,1,6,10,8,1,7,7,2,8,10,7,3,9,9,2019-02-22 16:27:22
wo,alfa,Philosophy,2019-02-22 16:31:17,4,10,1,1,10,1,2,10,10,10,0,0,2,3,8,2,3,7,10,10,0,3,8,0,0,10,0,2,10,10,2019-02-22 16:32:54
wo,beta,Mechanical engineer,2019-02-22 16:36:40,5,8,7,2,8,4,1,9,9,8,2,1,2,3,9,6,3,7,8,7,2,8,9,4,4,9,5,2,8,10,2019-02-22 16:39:31